country_id,country_name,indicator,year,gdp_value
BR,Brazil,GDP (current US$),2024,2185821648943.86
BR,Brazil,GDP (current US$),2023,2191131869706.02
BR,Brazil,GDP (current US$),2022,1951923832083.87
BR,Brazil,GDP (current US$),2021,1670647464062.96
BR,Brazil,GDP (current US$),2020,1476107292151.95
BR,Brazil,GDP (current US$),2019,1873288158838.63
BR,Brazil,GDP (current US$),2018,1916933708352.71
BR,Brazil,GDP (current US$),2017,2063514688805.78
BR,Brazil,GDP (current US$),2016,1795693265999.04
BR,Brazil,GDP (current US$),2015,1802211999456.42
BR,Brazil,GDP (current US$),2014,2456043766032.38
BR,Brazil,GDP (current US$),2013,2472819362043.74
BR,Brazil,GDP (current US$),2012,2465228293706.86
BR,Brazil,GDP (current US$),2011,2616156606579.21
BR,Brazil,GDP (current US$),2010,2208838108484.35
BR,Brazil,GDP (current US$),2009,1666996294252.12
BR,Brazil,GDP (current US$),2008,1695855391757.96
BR,Brazil,GDP (current US$),2007,1397114247188.89
BR,Brazil,GDP (current US$),2006,1107626711163.23
BR,Brazil,GDP (current US$),2005,891633826625.407
BR,Brazil,GDP (current US$),2004,669289321944.512
BR,Brazil,GDP (current US$),2003,558233724164.711
BR,Brazil,GDP (current US$),2002,509795270685.19
BR,Brazil,GDP (current US$),2001,559983704094.17
BR,Brazil,GDP (current US$),2000,655448188259.351
BR,Brazil,GDP (current US$),1999,599642075004.471
BR,Brazil,GDP (current US$),1998,863711007325.493
BR,Brazil,GDP (current US$),1997,883206452795.124
BR,Brazil,GDP (current US$),1996,850426433004.077
BR,Brazil,GDP (current US$),1995,769333330411.575
BR,Brazil,GDP (current US$),1994,525369851353.742
BR,Brazil,GDP (current US$),1993,368295778245.09
BR,Brazil,GDP (current US$),1992,328187960871.951
BR,Brazil,GDP (current US$),1991,342609231342.783
BR,Brazil,GDP (current US$),1990,390725626002.866
BR,Brazil,GDP (current US$),1989,412990820287.42
BR,Brazil,GDP (current US$),1988,307881930752.268
BR,Brazil,GDP (current US$),1987,283056836893.838
BR,Brazil,GDP (current US$),1986,256480852471.129
BR,Brazil,GDP (current US$),1985,210879844638.877
BR,Brazil,GDP (current US$),1984,188339974086.58
BR,Brazil,GDP (current US$),1983,189656506321.431
